name,tags
Valheim,"Open World Survival Craft,Survival,Online Co-Op,Open World,Multiplayer,Building,Crafting,Exploration,Base Building,Co-op,Sandbox,Adventure,Mythology,RPG,Early Access,Action,PvE,Indie,Singleplayer,Third Person,+"
Barotrauma,"Co-op,Multiplayer,Survival,Submarine,Survival Horror,2D,Underwater,Simulation,Horror,Sci-fi,Management,Strategy,Action,Difficult,Gore,Moddable,Violent,Singleplayer,Early Access,Naval,+"
Raft,"Survival,Open World Survival Craft,Multiplayer,Co-op,Crafting,Open World,Building,Base Building,Online Co-Op,Adventure,Sandbox,First-Person,Singleplayer,Early Access,Underwater,Simulation,Action,Indie,Strategy,Massively Multiplayer,+"
The Outlast Trials,"Early Access,Co-op,Survival Horror,Horror,Multiplayer,Psychological Horror,First-Person,PvE,Character Customization,Action-Adventure,Action,Stealth,Dark Humor,Survival,Alternate History,Realistic,Atmospheric,Dark,Science,Adventure,+"
Frostpunk,"City Builder,Survival,Resource Management,Strategy,Post-apocalyptic,Steampunk,Colony Sim,Building,Base Building,Simulation,Singleplayer,Management,Choices Matter,Atmospheric,Economy,Dark,Difficult,RTS,Great Soundtrack,Real-Time with Pause,+"
The Wandering Village,"Early Access,Sandbox,City Builder,Procedural Generation,Nature,RTS,Strategy,Base Building,Cute,Survival,Relaxing,Post-apocalyptic,Singleplayer,Roguelike,Resource Management,Economy,Real-Time with Pause,Family Friendly,Emotional,Management,+"
Garry's Mod,"Sandbox,Multiplayer,Funny,Moddable,Building,Mod,Comedy,Co-op,First-Person,Physics,Simulation,Online Co-Op,FPS,Singleplayer,Action,Animation & Modeling,Shooter,Indie,Massively Multiplayer,Adventure,+"
Escape the Backrooms,"Horror,Multiplayer,Psychological Horror,Online Co-Op,First-Person,Survival Horror,Co-op,Adventure,Exploration,Action,Indie,Early Access,3D,VR,Escape Room,Singleplayer,Action-Adventure,Casual,Stealth,Dungeon Crawler,+"
Sons Of The Forest,"Survival,Open World,Multiplayer,Survival Horror,Co-op,Base Building,Crafting,Horror,First-Person,Exploration,Adventure,Building,Singleplayer,Atmospheric,Action-Adventure,Sandbox,Action,Simulation,Early Access,Immersive Sim,+"
Yet Another Zombie Survivors,"Action Roguelike,RPG,Bullet Hell,Roguelite,Zombies,3D,Horror,Team-Based,Casual,Controller,Isometric,Action,Early Access,Score Attack,Survival,Singleplayer,Dark,Modern,Post-apocalyptic,Cyberpunk,+"
MudRunner,"Offroad,Simulation,Automobile Sim,Driving,Multiplayer,Realistic,Open World,Physics,Co-op,Online Co-Op,Mod,Moddable,Singleplayer,Racing,Sandbox,Exploration,Atmospheric,Adventure,First-Person,Third Person,+"
Techtonica,"Simulation,Automation,Building,Strategy,Base Building,City Builder,Resource Management,Sandbox,Crafting,Management,Exploration,Immersive Sim,First-Person,Colorful,Sci-fi,Co-op,Multiplayer,Online Co-Op,Singleplayer,Early Access,+"
Among Us,"Multiplayer,Online Co-Op,Social Deduction,Space,Survival,2D,Funny,Psychological,Co-op,Party Game,Cartoony,Local Multiplayer,Casual,Action,Colorful,PvP,Sci-fi,Aliens,Minigames,Top-Down,+"
Dead Cells,"Adventure,Action Roguelike,Pixel Graphics,Metroidvania,2D,Souls-like,Roguelike,Replay Value,Hack and Slash,Roguelite,Platformer,Singleplayer,Roguevania,Action,Difficult,Atmospheric,Dark Fantasy,Procedural Generation,Funny,Indie,+"
Transport Fever 2,"Simulation,Strategy,Management,Transportation,City Builder,Trains,Economy,Sandbox,Building,Singleplayer,Realistic,Moddable,Open World,Flight,Resource Management,Games Workshop,Naval,Indie,Casual,Historical,+"
Forts,"Base Building,Physics,Multiplayer,Destruction,Building,Strategy,Moddable,Sandbox,Action,2D,Memes,Military,Indie,Level Editor,Funny,Tactical,Singleplayer,Retro,Pixel Graphics,Lemmings,+"
Medieval Dynasty,"Survival,Building,Open World,Medieval,Singleplayer,RPG,City Builder,Crafting,Simulation,Colony Sim,Sandbox,Adventure,Resource Management,Realistic,First-Person,Exploration,Historical,Action,Co-op,Early Access,+"
Divinity: Original Sin 2 - Definitive Edition,"Tactical RPG,RPG,Turn-Based Strategy,Story Rich,Exploration,Fantasy,CRPG,Party-Based RPG,Character Customization,Strategy RPG,PvP,Female Protagonist,Co-op Campaign,Local Co-Op,Isometric,Choices Matter,Romance,Strategy,Moddable,Funny,+"
7 Days to Die,"Survival,Zombies,Open World,Multiplayer,Open World Survival Craft,Voxel,Post-apocalyptic,Base Building,Online Co-Op,Exploration,Building,Sandbox,Simulation,FPS,Strategy,Character Customization,Tower Defense,Action,Procedural Generation,Early Access,+"
Gunsmith Simulator,"Early Access,Simulation,Singleplayer,Realistic,Military,Puzzle,First-Person,America,Shooter,Management,Inventory Management,FPS,Minigames,Action,Tactical,Open World,Sandbox,War,Co-op,Moddable,+"
Russian Fishing 4,"Fishing,Free to Play,Simulation,Multiplayer,Nature,Realistic,Immersive Sim,Crafting,Relaxing,First-Person,Sports,Atmospheric,Singleplayer,Open World,Survival,Massively Multiplayer,Casual,Adventure,RPG,Family Friendly,+"
Farming Simulator 22,"Simulation,Co-op,Farming Sim,Agriculture,Moddable,Management,Multiplayer,Sandbox,3D,First-Person,Immersive Sim,Online Co-Op,Economy,Character Customization,Family Friendly,Open World,Third Person,Nature,Horses,America,+"
Factorio,"Automation,Base Building,Resource Management,Sandbox,Crafting,Strategy,Multiplayer,Survival,Management,Open World,Building,Co-op,2D,Moddable,Singleplayer,Trains,Simulation,Pixel Graphics,City Builder,Indie,+"
ARMORED CORE™ VI FIRES OF RUBICON™,"Mechs,3D,Third Person,Character Customization,Combat,Action,Post-apocalyptic,Robots,Multiplayer,Futuristic,Fast-Paced,Sci-fi,Soundtrack,Vehicular Combat,Souls-like,Singleplayer,Military,Co-op,Action-Adventure,Online Co-Op,+"
Don't Starve Together,"Survival,Open World Survival Craft,Multiplayer,Co-op,Open World,Adventure,Crafting,Online Co-Op,Sandbox,Difficult,Indie,2D,Atmospheric,Funny,Survival Horror,Strategy,Horror,Singleplayer,Action,Roguelike,+"
Cities: Skylines II,"Simulation,City Builder,Building,Singleplayer,Strategy,Sandbox,Multiplayer,Management,Economy,Realistic,Moddable,Atmospheric,Casual,+"
Viewfinder,"Puzzle Platformer,First-Person,Puzzle,Singleplayer,Psychological,3D Platformer,Dark Humor,Surreal,Action-Adventure,Adventure,Physics,Atmospheric,Narration,Exploration,Colorful,Story Rich,Abstract,Platformer,Stylized,Retro,+"
Project Zomboid,"Survival,Zombies,Open World,Open World Survival Craft,Multiplayer,Sandbox,Post-apocalyptic,Co-op,Crafting,Indie,Simulation,Building,RPG,Survival Horror,Realistic,Isometric,Singleplayer,2D,Early Access,Adventure,+"
Limbus Company,"Lore-Rich,RPG,Story Rich,Turn-Based Tactics,Strategy RPG,Turn-Based Combat,Strategy,Anime,Singleplayer,Visual Novel,PvE,Action,Turn-Based Strategy,2D,Dark Fantasy,Free to Play,Roguelite,Sci-fi,Colorful,Cartoon,+"
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,"Anime,Fighting,Action,Ninja,Multiplayer,Adventure,Story Rich,Singleplayer,Local Multiplayer,Third Person,Great Soundtrack,Open World,Fantasy,Atmospheric,Co-op,Online Co-Op,Beat 'em up,Local Co-Op,Memes,Heist,+"
Teardown,"Destruction,Physics,Sandbox,Voxel,First-Person,Heist,Open World,Singleplayer,Realistic,Simulation,3D,Action,Puzzle,Driving,Indie,Replay Value,Tactical,Immersive Sim,Puzzle Platformer,Runner,+"
Age of Wonders 4,"Strategy,4X,Fantasy,Tactical RPG,Atmospheric,Colorful,Magic,Diplomacy,Character Customization,PvP,War,Grand Strategy,Hex Grid,Moddable,RPG,PvE,Exploration,Top-Down,Lore-Rich,Immersive Sim,+"
The Forest,"Open World Survival Craft,Survival,Open World,Horror,Crafting,Adventure,Building,Survival Horror,First-Person,Action,Exploration,Sandbox,Atmospheric,Singleplayer,Simulation,Gore,Realistic,Indie,Early Access,Zombies,+"
CarX Drift Racing Online,"Racing,Driving,Automobile Sim,Multiplayer,Simulation,Sports,Open World,Massively Multiplayer,Controller,Singleplayer,Arcade,VR,Realistic,Local Multiplayer,Co-op,Early Access,Casual,Mod,Games Workshop,Action,+"
Warface,"Free to Play,FPS,Realistic,Multiplayer,Shooter,Action,PvP,Co-op,Gun Customization,Character Customization,First-Person,Online Co-Op,Tactical,Strategy,Massively Multiplayer,Military,Team-Based,Adventure,Moddable,Class-Based,+"
Maneater,"Dark Humor,Nature,Open World,Underwater,Singleplayer,Exploration,Female Protagonist,Violent,Action RPG,Third Person,Narration,Gore,Action-Adventure,Action,RPG,Simulation,Villain Protagonist,Atmospheric,Adventure,Satire,+"
Gas Station Simulator,"Simulation,Economy,Building,Indie,Singleplayer,Multiplayer,Base Building,Realistic,First-Person,Relaxing,Open World,Management,Crafting,Casual,Funny,Design & Illustration,Family Friendly,Co-op,Memes,Destruction,+"
SCUM,"Survival,Open World Survival Craft,Multiplayer,Open World,Zombies,Massively Multiplayer,Nudity,Action,Early Access,Adventure,Realistic,Crafting,Singleplayer,FPS,Violent,PvP,Gore,Third Person,Indie,RPG,+"
Risk of Rain 2,"Third-Person Shooter,Action Roguelike,Multiplayer,Action,Co-op,Roguelite,Looter Shooter,Roguelike,Loot,Online Co-Op,Shooter,Difficult,Third Person,Indie,Survival,Singleplayer,Great Soundtrack,Soundtrack,Early Access,Bullet Hell,+"
Stronghold Crusader 2,"Strategy,Medieval,City Builder,RTS,Multiplayer,Simulation,Historical,Co-op,Building,Classic,Singleplayer,Resource Management,Atmospheric,Sandbox,Action,Tactical,Open World,Adventure,Survival,Indie,+"
EVE Online,"Space,Free to Play,RPG,Open World,Sci-fi,PvP,Sandbox,Economy,Massively Multiplayer,Strategy,Multiplayer,Action,Character Customization,Exploration,War,Spaceships,MMORPG,Politics,Lore-Rich,PvE,+"
"Warhammer 40,000: Darktide","Warhammer 40K,Gore,Adventure,Online Co-Op,Multiplayer,PvE,FPS,Survival Horror,Shooter,Hack and Slash,Character Customization,First-Person,Co-op,Action,Violent,Atmospheric,Sci-fi,Dark Fantasy,Looter Shooter,Horror,+"
Patron,"City Builder,Colony Sim,Strategy,Survival,Medieval,Singleplayer,Resource Management,Economy,Building,Management,Base Building,3D,Open World,Moddable,Historical,Simulation,Sandbox,RTS,+"
Warhammer The Horus Heresy: Legions,"Deckbuilding,Card Game,Multiplayer,Free to Play,Board Game,PvP,Strategy,Trading Card Game,Card Battler,Singleplayer,PvE,Adventure,Turn-Based Tactics,Turn-Based Strategy,Warhammer 40K,Turn-Based Combat,Lore-Rich,2D,Tabletop,Story Rich,+"
Aliens: Dark Descent,"Strategy,Action,Tactical,RTS,Sci-fi,Action-Adventure,Singleplayer,Dark,3D,Space,Survival,Aliens,Horror,Violent,Real Time Tactics,Combat,Top-Down,Stealth,Isometric,Multiplayer,+"
War Thunder,"Free to Play,Vehicular Combat,Combat,VR,World War II,Flight,War,Military,Tanks,Naval Combat,Modern,Simulation,Cold War,Massively Multiplayer,Action,Third-Person Shooter,Shooter,Third Person,Realistic,Historical,+"
One Military Camp,"Management,Base Building,City Builder,Resource Management,Simulation,Sandbox,Economy,Building,Strategy,Colony Sim,Time Management,Strategy RPG,Character Customization,Funny,Life Sim,Stylized,Isometric,Class-Based,Indie,Real Time Tactics,+"
"Warhammer 40,000: Gladius - Relics of War","Strategy,Turn-Based Strategy,Warhammer 40K,4X,Turn-Based,Hex Grid,Sci-fi,Turn-Based Tactics,Multiplayer,Wargame,Singleplayer,Tactical,Turn-Based Combat,War,Grand Strategy,Co-op,Replay Value,Great Soundtrack,Military,Games Workshop,+"
Tower of Fantasy,"MMORPG,RPG,Anime,Action,Open World,Action-Adventure,Action RPG,3D Platformer,Cinematic,Cartoony,Drama,Sci-fi,Post-apocalyptic,Futuristic,Cyberpunk,Free to Play,Massively Multiplayer,Character Customization,Story Rich,Bullet Time,+"
Beat Saber,"VR,Rhythm,Music,Moddable,Fast-Paced,Indie,First-Person,Singleplayer,Difficult,Multiplayer,Swordplay,Action,Sports,Futuristic,Casual,Music-Based Procedural Generation,Games Workshop,PvP,Early Access,Great Soundtrack,+"
"Ranch Simulator - Build, Farm, Hunt","Early Access,Simulation,Multiplayer,Online Co-Op,Open World,Farming Sim,Farming,Job Simulator,Co-op,Realistic,Hunting,Sandbox,Singleplayer,Destruction,Management,Trading,Economy,Immersive Sim,Relaxing,Indie,+"
Left 4 Dead 2,"Zombies,Co-op,FPS,Multiplayer,Shooter,Online Co-Op,Action,Survival,Horror,First-Person,Gore,Team-Based,Moddable,Survival Horror,Post-apocalyptic,Singleplayer,Adventure,Local Co-Op,Replay Value,Tactical,+"
Puzzle Quest 3,"Casual,RPG,Strategy,Adventure,Puzzle,Match 3,Turn-Based Strategy,Turn-Based Tactics,3D,Cartoony,Colorful,Dragons,Fantasy,Medieval,Asynchronous Multiplayer,Co-op,Action,Multiplayer,Combat,Loot,+"
Pummel Party,"Multiplayer,Funny,Online Co-Op,4 Player Local,Board Game,Party Game,Casual,Local Multiplayer,Co-op,Minigames,Party,Local Co-Op,Action,Indie,Comedy,Tabletop,Controller,Gore,Colorful,Singleplayer,+"
Kingdom Two Crowns,"Base Building,Building,Tower Defense,Strategy,Medieval,City Builder,Action RTS,Stylized,Singleplayer,Minimalist,Fantasy,Dark Fantasy,Controller,Pixel Graphics,Local Multiplayer,Simulation,Survival,Colony Sim,Adventure,Co-op,+"
Brotato,"Action Roguelike,Roguelite,Bullet Hell,Arena Shooter,Top-Down Shooter,2D,Casual,RPG,Top-Down,Action,Post-apocalyptic,Procedural Generation,Hand-drawn,Funny,Aliens,Cartoony,Controller,Combat,Perma Death,Cute,+"
Stellaris,"Space,Grand Strategy,Strategy,Sci-fi,4X,Exploration,Sandbox,Simulation,Multiplayer,Real-Time with Pause,Moddable,Singleplayer,Diplomacy,Management,Futuristic,Military,Replay Value,Atmospheric,Great Soundtrack,Procedural Generation,+"
DEVOUR,"Horror,Online Co-Op,Multiplayer,Survival Horror,Sexual Content,Co-op,Psychological Horror,Dark,Survival,First-Person,Atmospheric,Indie,Difficult,Puzzle,Singleplayer,Gore,VR,Violent,Stealth,Action,+"
Inside the Backrooms,"Early Access,Horror,Multiplayer,Survival Horror,Puzzle,Psychological Horror,Adventure,Co-op,Online Co-Op,Exploration,First-Person,Atmospheric,FPS,3D,Dark,Mystery,Sci-fi,VR,Story Rich,PvE,+"
ONE PIECE: PIRATE WARRIORS 4,"Anime,Hack and Slash,Beat 'em up,Fighting,Pirates,Action,Split Screen,PvP,Arcade,Multiplayer,Co-op,Adventure,RPG,Local Co-Op,Comedy,Online Co-Op,Musou,Controller,Singleplayer,Open World,+"
Scrap Mechanic,"Building,Sandbox,Open World,Survival,Multiplayer,Crafting,Physics,Base Building,Co-op,Singleplayer,First-Person,Adventure,Third Person,Funny,Simulation,Early Access,Action,Indie,Moddable,Online Co-Op,+"
Half-Life: Alyx,"VR,FPS,Story Rich,Horror,Female Protagonist,Shooter,First-Person,Singleplayer,Action,Sci-fi,Zombies,Atmospheric,Beautiful,Aliens,Adventure,Futuristic,Psychological Horror,Memes,Great Soundtrack,Gore,+"
Arma Reforger,"Early Access,Action,Simulation,Shooter,Strategy,Sandbox,FPS,Military,Realistic,First-Person,Real Time Tactics,Third Person,Tactical,War,Open World,Multiplayer,PvE,PvP,1980s,Cold War,+"
American Truck Simulator,"Automobile Sim,Driving,Open World,Transportation,Simulation,America,Realistic,Moddable,Relaxing,Exploration,Economy,Atmospheric,Management,Immersive Sim,Multiplayer,Singleplayer,Adventure,Casual,Family Friendly,Level Editor,+"
Hades,"Action Roguelike,Hack and Slash,Roguelite,Indie,Action,Mythology,Roguelike,RPG,Great Soundtrack,Singleplayer,Story Rich,Dungeon Crawler,Replay Value,Isometric,Difficult,Action RPG,Hand-drawn,Atmospheric,Perma Death,Souls-like,+"
Assetto Corsa,"Racing,Automobile Sim,Simulation,Driving,Multiplayer,Realistic,VR,Sports,Moddable,Controller,Open World,Physics,Singleplayer,First-Person,Indie,Replay Value,Action,3D Vision,TrackIR,Artificial Intelligence,+"
ONE PIECE World Seeker,"Action,Adventure,Anime,Open World,Singleplayer,Pirates,Multiplayer,Fighting,RPG,Co-op,JRPG,Third Person,Story Rich,Fantasy,+"
ULTRAKILL,"Early Access,FPS,Arena Shooter,Spectacle fighter,Character Action Game,Blood,Retro,Fast-Paced,Singleplayer,Shooter,First-Person,Difficult,Action,Old School,Robots,3D,Silent Protagonist,Stylized,Sci-fi,Cyberpunk,+"
Brewpub Simulator,"Simulation,Immersive Sim,3D,First-Person,Cooking,Realistic,America,Crafting,Economy,Management,Indie,Modern,Resource Management,Singleplayer,Life Sim,Time Management,Atmospheric,+"
Ember Knights,"Action Roguelike,Roguelite,Pixel Graphics,Dungeon Crawler,Hack and Slash,RPG,Adventure,Co-op,Multiplayer,Online Co-Op,Action,Singleplayer,2D,Local Co-Op,Roguelike,Local Multiplayer,Top-Down,Procedural Generation,Combat,Choices Matter,+"
Vampire Survivors,"Action Roguelike,Bullet Hell,Pixel Graphics,Roguelite,2D,Indie,Singleplayer,Vampire,Casual,Action,Arcade,RPG,Controller,Retro,Score Attack,Action RPG,Roguelike,Dark Fantasy,Early Access,1980s,+"
Heavy Rain,"Choices Matter,Story Rich,Multiple Endings,Narration,Adventure,Cinematic,Detective,Thriller,Emotional,Investigation,Interactive Fiction,Quick-Time Events,Dynamic Narration,Mystery,Singleplayer,Crime,Sexual Content,Atmospheric,Violent,Nudity,+"
Solasta: Crown of the Magister,"Co-op Campaign,Isometric,Multiplayer,RPG,Character Customization,Co-op,Choices Matter,Fantasy,Story Rich,CRPG,Class-Based,Singleplayer,Dungeons & Dragons,Stealth,PvE,Adventure,Party-Based RPG,Team-Based,Combat,Strategy RPG,+"
Darkest Dungeon® II,"Turn-Based Tactics,Dark Fantasy,Roguelite,Dungeon Crawler,Lovecraftian,Singleplayer,Perma Death,CRPG,Story Rich,2D,Hand-drawn,Turn-Based,Roguelike,Procedural Generation,Gothic,Party-Based RPG,Turn-Based Strategy,Turn-Based Combat,RPG,Stylized,+"
Starship Troopers: Extermination,"Action,Online Co-Op,Sci-fi,First-Person,FPS,Combat,Co-op,Multiplayer,Arcade,Aliens,Wargame,PvE,Space,Shooter,Base Building,Arena Shooter,Class-Based,Early Access,3D,Realistic,+"
Gunfire Reborn,"Roguelite,FPS,Online Co-Op,Co-op,Roguelike,Multiplayer,Looter Shooter,Indie,Action,Adventure,RPG,Shooter,Action Roguelike,First-Person,Dungeon Crawler,Replay Value,Early Access,Singleplayer,Fast-Paced,Loot,+"
Total Conflict: Resistance,"Early Access,FPS,Tactical,Wargame,RTS,Grand Strategy,Real Time Tactics,Immersive Sim,Cinematic,Combat,Military,Realistic,Management,War,Atmospheric,Political Sim,Resource Management,Choices Matter,Economy,Strategy,+"
Punch Club,"Management,Time Management,Boxing,Pixel Graphics,Beat 'em up,RPG,2D Fighter,Fighting,Sports,Arcade,Simulation,Story Rich,Choices Matter,2D,Funny,Retro,Cartoony,Action,Atmospheric,1990's,+"
Derail Valley,"Early Access,Simulation,Trains,VR,Realistic,Transportation,Driving,Open World,First-Person,Immersive Sim,Physics,Economy,Resource Management,Indie,Singleplayer,Replay Value,Adventure,Procedural Generation,Sandbox,Relaxing,+"
Airships: Conquer the Skies,"Grand Strategy,PvP,Wargame,Naval Combat,Multiplayer,Real-Time,Competitive,RTS,4X,Online Co-Op,Vehicular Combat,Strategy,2D,Alternate History,Mechs,Steampunk,Tanks,World War I,Co-op,Military,+"
Afterimage,"Metroidvania,Side Scroller,Exploration,2D Platformer,Anime,Hack and Slash,Souls-like,Female Protagonist,Difficult,Action RPG,Platformer,Action-Adventure,RPG,2D,Cute,Lore-Rich,Open World,Story Rich,Multiple Endings,Choices Matter,+"
Grim Dawn,"Action RPG,Hack and Slash,Dark Fantasy,RPG,Loot,Dungeon Crawler,Co-op,Dark,Multiplayer,Singleplayer,Fantasy,Action,Adventure,Isometric,Atmospheric,Post-apocalyptic,Indie,Zombies,Kickstarter,Crowdfunded,+"
Portal 2,"Platformer,Puzzle,Dark Humor,First-Person,Story Rich,Puzzle Platformer,Funny,Female Protagonist,3D Platformer,Action-Adventure,Action,FPS,Co-op,Physics,Sci-fi,Level Editor,Science,Comedy,Atmospheric,Adventure,+"
Geometry Dash,"Difficult,Music,Great Soundtrack,Precision Platformer,Level Editor,Rhythm,2D,Colorful,Singleplayer,Platformer,Character Customization,Arcade,Indie,Side Scroller,Action,Funny,Family Friendly,Casual,Strategy,Adventure,+"
Soulstone Survivors,"Early Access,Action Roguelike,Action RPG,Bullet Hell,Roguelite,Top-Down,Arcade,Procedural Generation,Action,Roguelike,Score Attack,Colorful,Controller,Dark Fantasy,Twin Stick Shooter,RPG,Singleplayer,Crafting,Character Customization,Hack and Slash,+"
Assetto Corsa Competizione,"Racing,Automobile Sim,Simulation,Multiplayer,Driving,VR,Sports,Realistic,Singleplayer,Controller,Early Access,eSports,Open World,First-Person,Competitive,Atmospheric,Online Co-Op,Difficult,Moddable,+"
The Isle,"Dinosaurs,Survival,Open World,Multiplayer,Simulation,Hunting,Massively Multiplayer,Realistic,Adventure,Early Access,Action,Third Person,Co-op,Sandbox,Horror,Walking Simulator,Strategy,Indie,Team-Based,RPG,+"
Timberborn,"Early Access,City Builder,Colony Sim,Base Building,Survival,Building,Management,Resource Management,Automation,Sandbox,Economy,Singleplayer,Post-apocalyptic,Agriculture,Strategy,Level Editor,3D,Science,Top-Down,Voxel,+"
Gems of War - Puzzle RPG,"Free to Play,Match 3,Puzzle,PvE,PvP,Card Game,Strategy RPG,Turn-Based Strategy,RPG,Strategy,2D,Turn-Based Combat,Story Rich,Singleplayer,Casual,Fantasy,Magic,War,Adventure,Multiplayer,+"
ICARUS,"Survival,Open World Survival Craft,Online Co-Op,Multiplayer,Base Building,Crafting,Exploration,Building,Open World,Co-op,First-Person,PvE,Space,Mining,Realistic,Third Person,Sandbox,Adventure,Nature,Science,+"
Unturned,"Free to Play,Survival,Zombies,Multiplayer,Open World,Co-op,Crafting,Sandbox,Adventure,Shooter,First-Person,Post-apocalyptic,Looter Shooter,Action,FPS,Singleplayer,Massively Multiplayer,Atmospheric,Indie,Casual,+"
Space Engineers,"Space,Sandbox,Building,Open World Survival Craft,Multiplayer,Survival,Simulation,Open World,Physics,Crafting,Destruction,Co-op,Futuristic,Indie,Sci-fi,Singleplayer,Action,Strategy,Adventure,Early Access,+"
Going Medieval,"Early Access,City Builder,Medieval,Colony Sim,Strategy,Simulation,Building,Survival,Base Building,Management,Crafting,Sandbox,RPG,Open World,Resource Management,RTS,Singleplayer,3D,Procedural Generation,Stylized,+"
REMEDIUM: Sentinels,"Action Roguelike,Bullet Hell,Roguelite,Shooter,3D,Singleplayer,Casual,Top-Down,Action RPG,Roguelike,Action,Top-Down Shooter,Post-apocalyptic,Medieval,Score Attack,Survival,Dark,Retro,Dark Fantasy,Controller,+"
